,lat,long,elevation
418,13.5,164.57143,-2523.5390625
419,13.5,174.85714,-5527.720703125
420,22.5,-180.0,-5114.0
421,22.5,-169.71429,-4646.203125
422,22.5,-159.42857,-2737.9033203125
423,22.5,-149.14286,-5339.3984375
424,22.5,-138.85714,-4976.20166015625
425,22.5,-128.57143,-4536.85693359375
426,22.5,-118.28571,-4097.1103515625
427,22.5,-108.0,-2983.84326171875
428,22.5,-97.71429,-26.74227142333984
429,22.5,-87.42857,-46.14289855957031
430,22.5,-77.14286,-4.0
431,22.5,-66.85714,-5649.6025390625
432,22.5,-56.57143,-6202.10009765625
433,22.5,-46.28571,-3773.8369140625
434,22.5,-36.0,-5479.7998046875
435,22.5,-25.71429,-5253.14306640625
436,22.5,-15.42857,214.1144256591797
437,22.5,-5.14286,252.0005645751953
438,22.5,5.14286,981.9163818359375
439,22.5,15.42857,943.0278930664062
440,22.5,25.71429,801.2811279296875
441,22.5,36.0,62.0
442,22.5,46.28571,856.5158081054688
443,22.5,56.57143,210.2287445068359
444,22.5,66.85714,-1374.881958007812
445,22.5,77.14286,292.0057678222656
446,22.5,87.42857,23.21530342102051
447,22.5,97.71429,843.771484375
448,22.5,108.0,125.8000030517578
449,22.5,118.28571,-69.1986312866211
450,22.5,128.57143,-4045.0087890625
451,22.5,138.85714,-4797.076171875
452,22.5,149.14286,-5712.48486328125
453,22.5,159.42857,-4922.88671875
454,22.5,169.71429,-5887.5732421875
455,31.5,-174.85714,-5831.1474609375
456,31.5,-164.57143,-4855.2412109375
457,31.5,-154.28571,-5481.14111328125
458,31.5,-144.0,-5864.81298828125
459,31.5,-133.71429,-4688.01123046875
460,31.5,-123.42857,-4103.38916015625
461,31.5,-113.14286,143.6385650634766
462,31.5,-102.85714,779.294189453125
463,31.5,-92.57143,35.55473709106445
464,31.5,-82.28571,48.08792114257812
465,31.5,-72.0,-5406.0
466,31.5,-61.71429,-4727.14990234375
467,31.5,-51.42857,-5459.28515625
468,31.5,-41.14286,-2149.51904296875
469,31.5,-30.85714,-4375.3125
470,31.5,-20.57143,-4830.40625
471,31.5,-10.28571,-683.5932006835938
472,31.5,0.0,691.4000244140625
473,31.5,10.28571,445.2394104003906
474,31.5,20.57143,148.4682464599609
475,31.5,30.85714,-23.93292236328125
476,31.5,41.14286,549.1765747070312
477,31.5,51.42857,2750.400146484375
478,31.5,61.71429,493.53173828125
479,31.5,72.0,171.9177093505859
480,31.5,82.28571,4859.05224609375
481,31.5,92.57143,4565.5556640625
482,31.5,102.85714,4087.0205078125
483,31.5,113.14286,273.5103454589844
484,31.5,123.42857,-34.81140899658203
485,31.5,133.71429,-4883.982421875
486,31.5,144.0,-5828.39990234375
487,31.5,154.28571,-5713.7705078125
488,31.5,164.57143,-5935.81689453125
489,31.5,174.85714,-5103.25634765625
490,40.5,-180.0,-5743.60009765625
491,40.5,-169.71429,-5752.42626953125
492,40.5,-159.42857,-5255.35595703125
493,40.5,-149.14286,-4808.3828125
494,40.5,-138.85714,-4309.58056640625
495,40.5,-128.57143,-3205.866943359375
496,40.5,-118.28571,1312.300048828125
497,40.5,-108.0,1904.251708984375
498,40.5,-97.71429,507.2056884765625
499,40.5,-87.42857,224.9891357421875
500,40.5,-77.14286,220.9230346679688
501,40.5,-66.85714,-1640.395751953125
502,40.5,-56.57143,-5178.9658203125
503,40.5,-46.28571,-4352.17626953125
504,40.5,-36.0,-4279.47998046875
505,40.5,-25.71429,-2914.479736328125
506,40.5,-15.42857,-5321.3642578125
507,40.5,-5.14286,1532.173950195312
508,40.5,5.14286,-2766.994140625
509,40.5,15.42857,757.1926879882812
510,40.5,25.71429,32.84280395507812
511,40.5,36.0,870.61669921875
512,40.5,46.28571,1169.962890625
513,40.5,56.57143,93.6227035522461
514,40.5,66.85714,1299.103393554688
515,40.5,77.14286,2985.841064453125
516,40.5,87.42857,866.5947265625
517,40.5,97.71429,1281.433715820312
518,40.5,108.0,1167.47998046875
519,40.5,118.28571,409.5453491210938
520,40.5,128.57143,656.9124755859375
521,40.5,138.85714,-3059.731689453125
522,40.5,149.14286,-5301.888671875
523,40.5,159.42857,-5608.34375
524,40.5,169.71429,-5610.06591796875
525,49.5,-174.85714,-5289.7529296875
526,49.5,-164.57143,-5057.87939453125
527,49.5,-154.28571,-4871.40185546875
528,49.5,-144.0,-4217.134765625
529,49.5,-133.71429,-3207.7470703125
530,49.5,-123.42857,172.5418701171875
531,49.5,-113.14286,1032.068969726562
532,49.5,-102.85714,598.5999145507812
533,49.5,-92.57143,400.188720703125
534,49.5,-82.28571,230.2001647949219
535,49.5,-72.0,269.0400085449219
536,49.5,-61.71429,-183.9767456054688
537,49.5,-51.42857,-288.2287292480469
538,49.5,-41.14286,-4417.109375
539,49.5,-30.85714,-3548.881103515625
540,49.5,-20.57143,-3954.407470703125
541,49.5,-10.28571,-103.6387405395508
542,49.5,0.0,-14.80000019073486
543,49.5,10.28571,385.6754150390625
544,49.5,20.57143,820.23046875
545,49.5,30.85714,191.1540069580078
546,49.5,41.14286,124.2856826782227
547,49.5,51.42857,3.742886304855347
548,49.5,61.71429,169.3935394287109
549,49.5,72.0,452.8800048828125
550,49.5,82.28571,863.19580078125
551,49.5,92.57143,1543.057373046875
552,49.5,102.85714,1370.234008789062
553,49.5,113.14286,1000.08740234375
554,49.5,123.42857,410.4171142578125
555,49.5,133.71429,329.7552490234375
556,49.5,144.0,283.2000122070312
557,49.5,154.28571,-799.4423828125
558,49.5,164.57143,-5528.9775390625
559,49.5,174.85714,-4061.5712890625
560,58.5,-180.0,-3705.199951171875
561,58.5,-169.71429,-69.3199691772461
562,58.5,-159.42857,-12.95422267913818
563,58.5,-149.14286,-120.1316833496094
564,58.5,-138.85714,-99.63199615478516
565,58.5,-128.57143,1513.827270507812
566,58.5,-118.28571,393.6689453125
567,58.5,-108.0,450.7200012207031
568,58.5,-97.71429,309.8001708984375
569,58.5,-87.42857,-175.9486846923828
570,58.5,-77.14286,111.0289535522461
571,58.5,-66.85714,9.716760635375977
572,58.5,-56.57143,-3080.4853515625
573,58.5,-46.28571,-2565.11181640625
574,58.5,-36.0,-2984.288330078125
575,58.5,-25.71429,-2636.82666015625
576,58.5,-15.42857,-1137.742553710938
577,58.5,-5.14286,1.376107692718506
578,58.5,5.14286,-277.8856811523438
579,58.5,15.42857,81.44273376464844
580,58.5,25.71429,59.59938430786133
581,58.5,36.0,150.0800018310547
582,58.5,46.28571,160.0222015380859
583,58.5,56.57143,189.4969787597656
584,58.5,66.85714,58.32013702392578
585,58.5,77.14286,111.8571853637695
586,58.5,87.42857,163.7941589355469
587,58.5,97.71429,233.8725280761719
588,58.5,108.0,512.2000122070312
589,58.5,118.28571,433.2621459960938
590,58.5,128.57143,542.0289306640625
591,58.5,138.85714,592.4805908203125
592,58.5,149.14286,-124.3600921630859
593,58.5,159.42857,88.0276107788086
594,58.5,169.71429,-2269.01123046875
595,67.5,-174.85714,-16.14310646057129
596,67.5,-164.57143,-25.96636772155762
597,67.5,-154.28571,1265.496459960938
598,67.5,-144.0,537.8170166015625
599,67.5,-133.71429,85.42784118652344
600,67.5,-123.42857,338.1714172363281
601,67.5,-113.14286,372.8568115234375
602,67.5,-102.85714,65.28579711914062
603,67.5,-92.57143,322.3141479492188
604,67.5,-82.28571,239.7439727783203
605,67.5,-72.0,29.0
606,67.5,-61.71429,-393.3608703613281
607,67.5,-51.42857,461.2850036621094
608,67.5,-41.14286,2485.91455078125
609,67.5,-30.85714,-523.8197631835938
610,67.5,-20.57143,-382.1581420898438
611,67.5,-10.28571,-1787.803588867188
612,67.5,0.0,-3698.597412109375
613,67.5,10.28571,-219.7055816650391
614,67.5,20.57143,499.3706665039062
615,67.5,30.85714,179.8286437988281
616,67.5,41.14286,-19.28083610534668
617,67.5,51.42857,41.0
618,67.5,61.71429,160.8285217285156
619,67.5,72.0,8.600000381469727
620,67.5,82.28571,38.08591079711914
621,67.5,92.57143,325.3223876953125
622,67.5,102.85714,353.8595581054688
623,67.5,113.14286,326.6788635253906
624,67.5,123.42857,84.74215698242188
625,67.5,133.71429,277.7694396972656
626,67.5,144.0,90.19999694824219
627,67.5,154.28571,49.00136566162109
628,67.5,164.57143,431.9148864746094
629,67.5,174.85714,847.8316040039062
630,76.5,-180.0,-1149.0
631,76.5,-169.71429,-2198.149169921875
632,76.5,-159.42857,-2126.613525390625
633,76.5,-149.14286,-3830.324951171875
634,76.5,-138.85714,-3684.582275390625
635,76.5,-128.57143,-2078.47021484375
636,76.5,-118.28571,-97.67301940917969
637,76.5,-108.0,-147.5446319580078
638,76.5,-97.71429,3.574080944061279
639,76.5,-87.42857,191.0019836425781
640,76.5,-77.14286,-275.2787780761719
641,76.5,-66.85714,845.8289794921875
642,76.5,-56.57143,1774.096923828125
643,76.5,-46.28571,2722.9658203125
644,76.5,-36.0,2512.719970703125
645,76.5,-25.71429,2033.24951171875
646,76.5,-15.42857,-246.0847320556641
647,76.5,-5.14286,-2305.93798828125
648,76.5,5.14286,-2512.597412109375
649,76.5,15.42857,-147.9636383056641
650,76.5,25.71429,-54.1850700378418
651,76.5,36.0,-258.0306701660156
652,76.5,46.28571,-243.4627227783203
653,76.5,56.57143,-105.6418838500977
654,76.5,66.85714,624.0501098632812
655,76.5,77.14286,-91.72480773925781
656,76.5,87.42857,-40.33195495605469
657,76.5,97.71429,-35.62142944335938
658,76.5,108.0,136.5058441162109
659,76.5,118.28571,-48.0880012512207
660,76.5,128.57143,-55.77702331542969
661,76.5,138.85714,-20.00093078613281
662,76.5,149.14286,-41.4842414855957
663,76.5,159.42857,-59.69107437133789
664,76.5,169.71429,-246.6892547607422
665,85.5,-174.85714,-2612.072998046875
666,85.5,-164.57143,-2233.734375
667,85.5,-154.28571,-2162.568359375
668,85.5,-144.0,-2246.43896484375
669,85.5,-133.71429,-1709.040649414062
670,85.5,-123.42857,-1674.491088867188
671,85.5,-113.14286,-1102.593139648438
672,85.5,-102.85714,-1561.81591796875
673,85.5,-92.57143,-1770.61474609375
674,85.5,-82.28571,-1998.098388671875
675,85.5,-72.0,-1366.292358398438
676,85.5,-61.71429,-396.3475646972656
677,85.5,-51.42857,-1446.315795898438
678,85.5,-41.14286,-2858.7744140625
679,85.5,-30.85714,-2464.03369140625
680,85.5,-20.57143,-2605.89306640625
681,85.5,-10.28571,-3676.59375
682,85.5,0.0,-4068.731689453125
683,85.5,10.28571,-3356.716552734375
684,85.5,20.57143,-1790.3037109375
685,85.5,30.85714,-3646.459228515625
686,85.5,41.14286,-3880.50927734375
